Open,Symbol,Position ID,Type,Volume,Price,S/L,T/P,Close,Close Price,P/L,Change
"
Feb 12, 2025 @ 09:42:07",NAS100,7277816997840984817,Buy,0.01,21552.45,n/a,n/a,"Feb 12, 2025 @ 09:44:17",21572.75,$20.05,0.09%
"
Feb 12, 2025 @ 09:42:07",NAS100,7277816997840984817,Buy,0.02,21552.45,n/a,n/a,"Feb 12, 2025 @ 09:45:28",21580.15,$55.30,0.13%
"
Feb 12, 2025 @ 09:38:15",US30,7277816997840984463,Buy,0.02,44165.35,n/a,n/a,"Feb 12, 2025 @ 09:42:53",44118.35,-$98.00,-0.11%
"
Feb 12, 2025 @ 09:32:23",NAS100,7277816997840983857,Sell,0.01,21486.91,n/a,n/a,"Feb 12, 2025 @ 09:38:55",21526.2,-$40.30,-0.18%
"
Feb 12, 2025 @ 09:31:04",US30,7277816997840983559,Sell,0.01,44193.85,n/a,n/a,"Feb 12, 2025 @ 09:31:06",44203.35,-$11.00,-0.02%
"
Feb 12, 2025 @ 09:30:30",US30,7277816997840983470,Buy,0.01,44234.02,44205.46,44323.42,"Feb 12, 2025 @ 09:30:55",44208.35,-$25.00,-0.06%
"
Feb 11, 2025 @ 19:35:26",GBPJPY,7277816997840969483,Buy,0.01,190.443,186.836,n/a,"Feb 12, 2025 @ 08:58:39",191.266,$5.32,0.43%
"
Feb 11, 2025 @ 09:32:18",NAS100,7277816997840957332,Buy,0.01,21657.55,n/a,n/a,"Feb 11, 2025 @ 09:33:05",21669.55,$10.50,0.06%
"
Feb 11, 2025 @ 09:32:05",NAS100,7277816997840957247,Buy,0.01,21656.85,n/a,n/a,"Feb 11, 2025 @ 09:32:55",21660.55,$4.80,0.02%
"
Feb 10, 2025 @ 12:33:24",US30,7277816997840937723,Buy,0.01,44400.35,n/a,n/a,"Feb 10, 2025 @ 13:01:23",44444,$43.00,0.10%
"
Feb 10, 2025 @ 09:45:47",NAS100,7277816997840931513,Buy,0.01,21717.05,n/a,n/a,"Feb 10, 2025 @ 09:46:45",21720.05,$3.40,0.01%
"
Feb 10, 2025 @ 09:42:54",NAS100,7277816997840931178,Buy,0.01,21698.85,n/a,n/a,"Feb 10, 2025 @ 09:43:00",21700.25,$0.70,0.01%
"
Feb 10, 2025 @ 09:35:24",US30,7277816997840930359,Sell,0.01,44534.35,n/a,n/a,"Feb 10, 2025 @ 09:35:57",44505.35,$27.00,0.07%
"
Feb 10, 2025 @ 09:35:24",US30,7277816997840930359,Sell,0.01,44534.35,n/a,n/a,"Feb 10, 2025 @ 09:36:23",44510.35,$20.00,0.05%
"
Feb 10, 2025 @ 09:33:55",NAS100,7277816997840930085,Sell,0.01,21669.65,21728.85,21608.85,"Feb 10, 2025 @ 09:39:43",21703.05,-$33.60,-0.15%
"
Feb 10, 2025 @ 09:31:46",US30,7277816997840929846,Buy,0.01,44634.34,n/a,n/a,"Feb 10, 2025 @ 09:33:03",44604.34,-$31.00,-0.07%
"
Feb 10, 2025 @ 09:31:08",US30,7277816997840929711,Sell,0.01,44579.34,n/a,n/a,"Feb 10, 2025 @ 09:31:33",44624.34,-$43.50,-0.10%
"
Feb 7, 2025 @ 12:42:53",US30,7277816997840905300,Buy,0.01,44448.35,n/a,n/a,"Feb 7, 2025 @ 12:42:55",44445.35,-$3.00,-0.01%
"
Feb 7, 2025 @ 10:03:42",US30,7277816997840898882,Buy,0.01,44732.34,44722.34,n/a,"Feb 7, 2025 @ 10:03:45",44722.34,-$13.00,-0.02%
"
Feb 7, 2025 @ 09:57:26",US30,7277816997840898444,Buy,0.01,44846.34,n/a,n/a,"Feb 7, 2025 @ 09:59:57",44863.84,$16.50,0.04%
"
Feb 6, 2025 @ 19:45:15",US30,7277816997840884171,Buy,0.01,44759.34,44729.34,44889.34,"Feb 6, 2025 @ 20:06:43",44779.34,$20.00,0.04%
"
Feb 6, 2025 @ 18:15:42",US30,7277816997840883272,Buy,0.01,44754.58,44724.58,44844.58,"Feb 6, 2025 @ 18:22:35",44751.16,-$4.36,-0.01%
"
Feb 6, 2025 @ 09:45:04",NAS100,7277816997840871244,Buy,0.01,21705.35,n/a,n/a,"Feb 6, 2025 @ 09:45:53",21714.95,$8.70,0.04%
"
Feb 6, 2025 @ 09:40:49",US30,7277816997840870838,Sell,0.01,44955.67,n/a,n/a,"Feb 6, 2025 @ 09:47:37",44936.34,$20.00,0.04%
"
Feb 5, 2025 @ 09:39:09",US30,7277816997840843002,Buy,0.01,44623.34,n/a,n/a,"Feb 5, 2025 @ 09:47:44",44620.34,-$3.50,-0.01%
"
Feb 5, 2025 @ 09:31:14",US30,7277816997840841894,Sell,0.01,44581.34,n/a,n/a,"Feb 5, 2025 @ 09:32:50",44545.34,$35.00,0.08%
"
Feb 4, 2025 @ 09:31:41",US30,7277816997840813820,Sell,0.01,44358.35,n/a,n/a,"Feb 4, 2025 @ 10:05:49",44458.35,-$102.50,-0.23%
"
Feb 3, 2025 @ 09:32:35",NAS100,7277816997840784615,Buy,0.01,21150.15,n/a,n/a,"Feb 3, 2025 @ 09:39:35",21200.05,$51.00,0.24%
"
Jan 30, 2025 @ 10:11:58",US30,7277816997840727614,Sell,0.01,44832.34,n/a,n/a,"Jan 30, 2025 @ 10:19:58",44813.34,$18.00,0.04%
"
Jan 29, 2025 @ 15:10:46",US30,7277816997840707177,Sell,0.01,44804.34,n/a,n/a,"Jan 29, 2025 @ 15:17:59",44704.34,$100.00,0.22%
"
Jan 29, 2025 @ 15:09:25",US30,7277816997840707133,Sell,0.01,44770.34,n/a,n/a,"Jan 29, 2025 @ 15:10:38",44799.34,-$31.00,-0.06%
